1,60,COMPRAS ,D,28,EXISTENCIAS POR RECIBIR ,D,61,VARIACION DE EXISTENCIAS ,H,20,MERCADERIAS,D,28,EXISTENCIAS POR RECIBIR ,H,70,Ventas,H,69,COSTO DE VENTAS,D,20,MERCADERIAS,H
1,601,Mercaderías,D,281,Mercaderías,D,611,Mercaderías ,H,201,Mercaderías ,D,281,Mercaderías,H,701,Mercaderías ,H,691,Mercaderías,D,201,Mercaderías ,H
1,6011,Mercaderías manufacturadas ,D,2811,Mercaderías manufacturadas ,D,6111,Mercaderías manufacturadas ,H,201,Mercaderias manufacturados,D,2811,Mercaderías manufacturadas ,H,7011,Mercaderías manufacturadas ,H,6911,Mercaderías manufacturadas,D,201,Mercaderias manufacturados,H
1,60111,Mercaderías de terceros,D,28111,Mercaderías de terceros,D,61111,Mercaderías de terceros,H,2011,Mercaderías de terceros,D,28111,Mercaderías de terceros,H,70111,Mercaderia Terceros,H,69111,Mercaderías de Terceros,D,2011,Mercaderías de terceros,H
1,601111,Costo,D,281111,Costo,D,611111,Costo,H,20111,Costo,D,281111,Costo,H,701111,Costo,H,691111,Costo,D,20111,Costo,H
1,601112,valor razonable ,D,281112,valor razonable ,D,611112,valor razonable ,H,20112,valor razonable ,D,281112,valor razonable ,H,701112,valor razonable ,H,691112,valor razonable ,D,20112,valor razonable ,H
1,60112,Mercaderías de relacionadas,D,28112,Mercaderías de relacionadas,D,61112,Mercaderías de relacionadas,H,2012,Mercaderías de relacionadas,D,28112,Mercaderías de relacionadas,H,70112,Mercaderías de relacionadas,H,69112,Mercaderías de Relacionadas ,D,2012,Mercaderías de relacionadas,H
1,601121,Costo,D,281121,Costo,D,611121,Costo,H,20121,Costo,D,281121,Costo,H,701121,Costo,H,691121,Costo,D,20121,Costo,H
1,601122,valor razonable ,D,281122,valor razonable ,D,611122,valor razonable ,H,20122,valor razonable ,D,281122,valor razonable ,H,701122,valor razonable ,H,691122,valor razonable ,D,20122,valor razonable ,H
1,6012,Mercaderías de extracción ,D,2812,Mercaderías de extracción ,D,6112,Mercderías de extracción ,H,202,Mercaderías de extracción ,D,2812,Mercaderías de extracción ,H,7012,Mercderías de extracción ,H,6912,Mercaderías de extracción ,D,202,Mercaderías de extracción ,H
1,60121,Mercaderías de terceros,D,28121,Mercaderías de terceros,D,61121,Mercaderías de terceros,H,2021,Mercaderías de terceros,D,28121,Mercaderías de terceros,H,70121,Mercaderías de terceros,H,69121,Mercaderías de terceros,D,2021,Mercaderías de terceros,H
1,601211,Costo,D,281211,Costo,D,611211,Costo,H,20211,Costo,D,281211,Costo,H,701211,Costo,H,691211,Costo,D,20211,Costo,H
1,601212,valor razonable ,D,281212,valor razonable ,D,611212,valor razonable ,H,20212,valor razonable ,D,281212,valor razonable ,H,701212,valor razonable ,H,691212,valor razonable ,D,20212,valor razonable ,H
1,60122,Mercaderías de relacionadas,D,28122,Mercaderías de relacionadas,D,61122,Mercaderías de relacionadas,H,2022,Mercaderías de relacionadas,D,28122,Mercaderías de relacionadas,H,70122,Mercaderías de relacionadas,H,69122,Mercaderías de relacionadas,D,2022,Mercaderías de relacionadas,H
1,601221,Costo,D,281221,Costo,D,611221,Costo,H,20221,Costo,D,281221,Costo,H,701221,Costo,H,691221,Costo,D,20221,Costo,H
1,601222,valor razonable ,D,281222,valor razonable ,D,611222,valor razonable ,H,20222,valor razonable ,D,281222,valor razonable ,H,701222,valor razonable ,H,691222,valor razonable ,D,20222,valor razonable ,H
1,6013,Mercaderías agropecuarias y piscícolas ,D,2813,Mercaderías agropecuarias y piscícolas ,D,6113,Mercdaerías agropecuarias y piscícolas ,H,203,Mercaderías agropecuarios y piscícolas,D,2813,Mercaderías agropecuarias y piscícolas ,H,7013,Mercdaerías agropecuarias y piscícolas ,H,6913,Mercaderías agropecuarios y piscícolas ,D,203,Mercaderías agropecuarios y piscícolas,H
